Gm,R,RA
1,0,-2
2,6,-1
3,4,-6
4,3,-2
5,1,-3
6,6,-3
7,8,-3
8,7,-4
9,6,-1
10,4,-6
11,3,-1
12,3,0
13,3,-2
14,10,-9
15,4,-5
16,11,-3
17,4,-3
18,4,-1
19,3,-4
20,4,-5
21,0,-3
22,10,-1
23,12,-5
24,6,-7
25,1,-5
26,4,0
27,9,-3
28,12,-1
29,1,-7
30,3,-6
31,3,-2
32,2,-4
33,3,-8
34,4,-6
35,2,0
36,8,0
37,4,-3
38,9,-1
39,5,-4
40,11,0
41,2,-4
42,11,-1
43,6,-2
44,13,-3
45,3,0
46,3,-2
47,2,-5
48,2,-3
49,2,-5
50,1,-3
51,10,0
52,5,-6
53,3,-1
54,4,-5
55,9,-5
56,11,-3
57,6,-3
58,5,-2
59,7,-4
60,1,-2
61,4,-3
62,3,-6
63,11,-1
64,1,-4
65,1,-2
66,7,-1
67,0,-7
68,5,-1
69,10,-5
70,8,-14
71,10,-6
72,4,-2
73,4,-2
74,4,-3
75,2,-1
75,2,1
